iter	RMSE
0	3.573904155
1	3.45908132
2	3.352908518
3	3.251033083
4	3.157637733
5	3.073019032
6	3.00026549
7	2.928765986
8	2.866179449
9	2.806429326
10	2.752485111
11	2.70267795
12	2.655893445
13	2.616053637
14	2.577107617
15	2.540630537
16	2.508218276
17	2.480242483
18	2.454748304
19	2.4293581
20	2.407234424
21	2.387406179
22	2.36941163
23	2.353725418
24	2.336510316
25	2.322221236
26	2.310510548
27	2.299537934
28	2.287843856
29	2.277639611
30	2.26856344
31	2.259564014
32	2.252590666
33	2.245270758
34	2.238144554
35	2.231735934
36	2.225612079
37	2.220524306
38	2.214813446
39	2.210073137
40	2.204683657
41	2.199490061
42	2.195548471
43	2.19184421
44	2.18779027
45	2.184751596
46	2.1812344
47	2.177919863
48	2.174738219
49	2.172060276
50	2.168697173
51	2.16573272
52	2.162424342
53	2.159309918
54	2.157150303
55	2.154563467
56	2.152296557
57	2.149005515
58	2.146325884
59	2.143420279
60	2.141226997
61	2.139276959
62	2.13734462
63	2.134824057
64	2.133064793
65	2.131490947
66	2.129695735
67	2.12834661
68	2.126481735
69	2.123904569
70	2.120604569
71	2.118806015
72	2.116999019
73	2.115359433
74	2.113585203
75	2.112672609
76	2.111537057
77	2.10966408
78	2.108078346
79	2.106653093
80	2.104690023
81	2.102871655
82	2.100196827
83	2.098471371
84	2.097318313
85	2.095982894
86	2.094631916
87	2.09340008
88	2.091671813
89	2.090696595
90	2.089641768
91	2.088698397
92	2.086680647
93	2.085503334
94	2.084261393
95	2.083026844
96	2.081694838
97	2.079838281
98	2.079127623
99	2.077479431
100	2.076539411
101	2.07522072
102	2.074218751
103	2.073037276
104	2.072132844
105	2.070839319
106	2.069579854
107	2.068880841
108	2.068104996
109	2.067097275
110	2.065949366
111	2.06510659
112	2.063172579
113	2.062141183
114	2.060935486
115	2.059237052
116	2.058543647
117	2.057622946
118	2.056613019
119	2.055610575
120	2.054804365
121	2.054176743
122	2.053509232
123	2.05290076
124	2.052093224
125	2.050337603
126	2.049811924
127	2.048777456
128	2.047961895
129	2.047208272
130	2.04545576
131	2.044499558
132	2.043707053
133	2.042584252
134	2.040543364
135	2.039292642
136	2.037777964
137	2.036875026
138	2.035535533
139	2.034977682
140	2.034011264
141	2.032823106
142	2.031440838
143	2.030021983
144	2.028077853
145	2.027357617
146	2.026285272
147	2.02465451
148	2.022594245
149	2.021994123
150	2.021274428
151	2.019935021
152	2.018809355
153	2.017573721
154	2.016511696
155	2.014892239
156	2.013455889
157	2.011576784
158	2.009393843
159	2.007502829
160	2.006729496
161	2.005518737
162	2.004457006
163	2.003375719
164	2.002833994
165	2.001824816
166	2.000791522
167	1.999905291
168	1.999417442
169	1.998711323
170	1.997390711
171	1.996502385
172	1.995815715
173	1.994197806
174	1.993728308
175	1.992084446
176	1.990442881
177	1.989198984
178	1.988451896
179	1.987567354
180	1.986459313
181	1.985543335
182	1.984564657
183	1.983532376
184	1.98238257
185	1.981147761
186	1.980025139
187	1.9794812
188	1.978509777
189	1.977748799
190	1.977020183
191	1.97607048
192	1.975189382
193	1.974325461
