iter	Passed	Remaining
0	56	56200
1	57	28833
2	59	19752
3	63	15847
4	65	13006
5	67	11173
6	69	9879
7	71	8836
8	72	8032
9	75	7445
10	76	6900
11	78	6437
12	79	6058
13	81	5739
14	83	5482
15	85	5235
16	86	5009
17	88	4805
18	89	4631
19	91	4497
20	93	4346
21	94	4209
22	96	4091
23	97	3980
24	100	3904
25	101	3807
26	103	3716
27	105	3675
28	108	3618
29	109	3540
30	110	3464
31	112	3407
32	114	3344
33	116	3304
34	117	3252
35	119	3211
36	121	3159
37	122	3110
38	124	3068
39	126	3027
40	127	2990
41	129	2948
42	130	2909
43	132	2879
44	134	2860
45	136	2826
46	137	2795
47	139	2764
48	141	2752
49	145	2757
50	146	2732
51	148	2706
52	149	2678
53	151	2650
54	155	2666
55	157	2647
56	158	2626
57	160	2605
58	161	2582
59	163	2559
60	164	2535
61	166	2515
62	167	2493
63	170	2487
64	171	2468
65	173	2449
66	174	2433
67	176	2415
68	177	2398
69	179	2381
70	180	2363
71	182	2351
72	184	2336
73	185	2320
74	186	2304
75	188	2289
76	189	2274
77	191	2262
78	192	2248
79	194	2234
80	195	2220
81	198	2220
82	199	2208
83	201	2195
84	202	2183
85	204	2170
86	205	2157
87	207	2150
88	209	2139
89	210	2128
90	211	2116
91	213	2109
92	215	2098
93	216	2089
94	218	2080
95	219	2069
96	221	2060
97	222	2050
98	224	2044
99	226	2034
100	227	2025
101	229	2016
102	230	2007
103	231	1998
104	233	1991
105	235	1982
106	236	1974
107	238	1966
108	239	1957
109	241	1950
110	242	1942
111	244	1934
112	245	1928
113	247	1921
114	248	1914
115	250	1907
116	251	1899
117	253	1894
118	254	1885
119	256	1878
120	257	1872
121	259	1866
122	260	1860
123	262	1853
124	263	1846
125	265	1840
126	267	1835
127	268	1831
128	270	1824
129	271	1817
130	273	1811
131	275	1808
132	276	1803
133	278	1797
134	279	1791
135	281	1786
136	283	1783
137	284	1778
138	286	1772
139	287	1766
140	289	1764
141	291	1760
142	292	1755
143	294	1750
144	296	1747
145	297	1742
146	299	1738
147	301	1733
148	303	1732
149	304	1728
150	306	1723
151	309	1728
152	312	1727
153	313	1722
154	315	1718
155	317	1716
156	319	1713
157	321	1712
158	323	1709
159	327	1718
160	329	1717
161	331	1713
162	333	1710
163	336	1714
164	337	1708
165	340	1709
166	342	1707
167	345	1712
168	347	1707
169	348	1702
170	352	1711
171	354	1707
172	356	1703
173	359	1708
174	362	1706
175	363	1702
176	365	1698
177	369	1704
178	370	1700
179	372	1697
180	374	1693
181	377	1696
182	379	1694
183	381	1690
184	384	1691
185	385	1687
186	387	1682
187	389	1681
188	391	1678
189	392	1674
190	394	1672
191	396	1668
192	397	1663
193	399	1660
194	401	1658
195	403	1654
196	404	1649
197	406	1644
198	407	1641
199	409	1637
200	410	1633
201	412	1628
202	413	1624
203	415	1622
204	417	1618
205	418	1614
206	420	1610
207	422	1607
208	423	1603
209	425	1600
210	426	1595
211	428	1591
212	429	1587
213	431	1583
214	432	1580
215	434	1577
216	436	1574
217	437	1570
218	439	1566
219	440	1562
220	442	1559
221	444	1557
222	445	1553
223	447	1549
224	448	1545
225	450	1542
226	452	1540
227	453	1536
228	455	1532
229	456	1529
230	458	1526
231	460	1523
232	461	1519
233	463	1516
